_id,date,site,parameter,index_value,description,health_advisory,health_effects
76866,2/20/2024,Liberty,PM10_640,22,Good,,
76867,2/20/2024,North Braddock,PM10_640,34,Good,,
76868,2/20/2024,Avalon,PM25_640,51,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76869,2/20/2024,Harrison Township,NO2,23,Good,,
76870,2/20/2024,Parkway East,NO2,20,Good,,
76871,2/20/2024,Pittsburgh,NO2_500,32,Good,,
76872,2/20/2024,North Braddock,PM25_640,61,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76873,2/20/2024,North Braddock,SO2,13,Good,,
76874,2/20/2024,Pittsburgh,PM10_640,27,Good,,
76875,2/20/2024,Liberty,PM25_640,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76876,2/20/2024,Parkway East,PM25_640,41,Good,,
76877,2/20/2024,Lawrenceville 2,SO2,5,Good,,
76878,2/20/2024,Pittsburgh,PM25_640,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76879,2/20/2024,Clairton,PM25_640,55,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76880,2/21/2024,South Fayette,OZONE,47,Good,,
76881,2/21/2024,North Braddock,PM10_640,37,Good,,
76882,2/21/2024,Pittsburgh,PM10_640,28,Good,,
76883,2/21/2024,Pittsburgh,NO2_500,29,Good,,
76884,2/21/2024,Liberty,PM10_640,25,Good,,
76885,2/21/2024,Liberty,PM25_640,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76886,2/21/2024,Parkway East,PM25_640,40,Good,,
76887,2/21/2024,Lawrenceville 2,SO2,3,Good,,
76888,2/21/2024,Harrison Township,NO2,23,Good,,
76889,2/21/2024,North Braddock,PM25_640,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76890,2/21/2024,Liberty,SO2,16,Good,,
76891,2/21/2024,Lawrenceville 2,CO,6,Good,,
76892,2/21/2024,North Braddock,CO,7,Good,,
76893,2/21/2024,Parkway East,CO,5,Good,,
76894,2/21/2024,Parkway East,NO2,22,Good,,
76895,2/21/2024,Harrison Township,OZONE,42,Good,,
76896,2/21/2024,Lawrenceville,OZONE,39,Good,,
76897,2/21/2024,Glassport High Street,PM10,21,Good,,
76898,2/21/2024,Avalon,PM25_640,46,Good,,
76899,2/21/2024,North Braddock,SO2,23,Good,,
76900,2/21/2024,Clairton,PM25_640,44,Good,,
76901,2/21/2024,Pittsburgh,PM25_640,51,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76902,2/22/2024,North Braddock,CO,9,Good,,
76903,2/22/2024,Parkway East,CO,5,Good,,
76904,2/22/2024,South Fayette,OZONE,34,Good,,
76905,2/22/2024,North Braddock,PM10_640,30,Good,,
76906,2/22/2024,Pittsburgh,PM10_640,26,Good,,
76907,2/22/2024,Avalon,PM25_640,59,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76908,2/22/2024,Lawrenceville 2,SO2,3,Good,,
76909,2/22/2024,Lawrenceville 2,CO,5,Good,,
76910,2/22/2024,Harrison Township,NO2,18,Good,,
76911,2/22/2024,Parkway East,NO2,18,Good,,
76912,2/22/2024,Harrison Township,OZONE,20,Good,,
76913,2/22/2024,Lawrenceville,OZONE,21,Good,,
76914,2/22/2024,North Braddock,SO2,11,Good,,
76915,2/22/2024,Pittsburgh,NO2_500,31,Good,,
76916,2/22/2024,Liberty,PM10_640,22,Good,,
76917,2/22/2024,Liberty,PM25_640,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76918,2/22/2024,Glassport High Street,PM10,23,Good,,
76919,2/22/2024,North Braddock,PM25_640,67,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76920,2/22/2024,Parkway East,PM25_640,60,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76921,2/22/2024,Liberty,SO2,14,Good,,
76922,2/22/2024,Pittsburgh,PM25_640,68,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76923,2/22/2024,Clairton,PM25_640,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76924,2/23/2024,North Braddock,CO,3,Good,,
76925,2/23/2024,Parkway East,CO,8,Good,,
76926,2/23/2024,Harrison Township,OZONE,37,Good,,
76927,2/23/2024,South Fayette,OZONE,41,Good,,
76928,2/23/2024,Pittsburgh,PM10_640,29,Good,,
76929,2/23/2024,Avalon,PM25_640,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76930,2/23/2024,Liberty,PM25_640,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76931,2/23/2024,Lawrenceville 2,SO2,0,Good,,
76932,2/23/2024,Pittsburgh,NO2_500,11,Good,,
76933,2/23/2024,Liberty,PM10_640,24,Good,,
76934,2/23/2024,North Braddock,PM10_640,31,Good,,
76935,2/23/2024,Glassport High Street,PM10,18,Good,,
76936,2/23/2024,North Braddock,PM25_640,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76937,2/23/2024,Parkway East,PM25_640,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76938,2/23/2024,Liberty,SO2,0,Good,,
76939,2/23/2024,Lawrenceville 2,CO,4,Good,,
76940,2/23/2024,Harrison Township,NO2,11,Good,,
76941,2/23/2024,Parkway East,NO2,17,Good,,
76942,2/23/2024,Lawrenceville,OZONE,35,Good,,
76943,2/23/2024,North Braddock,SO2,0,Good,,
76944,2/23/2024,Clairton,PM25_640,50,Good,,
76945,2/23/2024,Pittsburgh,PM25_640,59,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
76946,2/24/2024,North Braddock,CO,2,Good,,
76947,2/24/2024,Parkway East,CO,6,Good,,
76948,2/24/2024,Harrison Township,OZONE,33,Good,,
76949,2/24/2024,South Fayette,OZONE,33,Good,,
76950,2/24/2024,Pittsburgh,PM10_640,19,Good,,
76951,2/24/2024,North Braddock,PM25_640,17,Good,,
76952,2/24/2024,Parkway East,PM25_640,17,Good,,
76953,2/24/2024,Lawrenceville 2,SO2,0,Good,,
76954,2/24/2024,Lawrenceville,OZONE,31,Good,,
76955,2/24/2024,Glassport High Street,PM10,9,Good,,
76956,2/24/2024,Avalon,PM25_640,15,Good,,
76957,2/24/2024,Liberty,SO2,0,Good,,
76958,2/24/2024,Lawrenceville 2,CO,2,Good,,
76959,2/24/2024,Harrison Township,NO2,4,Good,,
76960,2/24/2024,Parkway East,NO2,11,Good,,
76961,2/24/2024,Liberty,PM25_640,18,Good,,
76962,2/24/2024,North Braddock,SO2,0,Good,,
76963,2/24/2024,Pittsburgh,NO2_500,5,Good,,
76964,2/24/2024,Liberty,PM10_640,16,Good,,
76965,2/24/2024,North Braddock,PM10_640,17,Good,,
76966,2/24/2024,Clairton,PM25_640,17,Good,,
76967,2/24/2024,Pittsburgh,PM25_640,18,Good,,
76968,2/25/2024,North Braddock,CO,11,Good,,
76969,2/25/2024,Parkway East,CO,7,Good,,
76970,2/25/2024,Parkway East,NO2,26,Good,,
76971,2/25/2024,Pittsburgh,NO2_500,28,Good,,
76972,2/25/2024,Harrison Township,OZONE,32,Good,,
76973,2/25/2024,North Braddock,PM25_640,31,Good,,
76974,2/25/2024,Parkway East,PM25_640,20,Good,,
76975,2/25/2024,Lawrenceville 2,SO2,1,Good,,
76976,2/25/2024,North Braddock,SO2,33,Good,,
76977,2/25/2024,Lawrenceville,OZONE,31,Good,,
76978,2/25/2024,Glassport High Street,PM10,7,Good,,
76979,2/25/2024,Avalon,PM25_640,18,Good,,
76980,2/25/2024,Liberty,PM25_640,48,Good,,
76981,2/25/2024,South Fayette,OZONE,36,Good,,
76982,2/25/2024,Liberty,PM10_640,17,Good,,
76983,2/25/2024,North Braddock,PM10_640,13,Good,,
76984,2/25/2024,Liberty,SO2,30,Good,,
76985,2/25/2024,Lawrenceville 2,CO,3,Good,,
76986,2/25/2024,Harrison Township,NO2,22,Good,,
76987,2/25/2024,Pittsburgh,PM10_640,7,Good,,
76988,2/25/2024,Pittsburgh,PM25_640,18,Good,,
76989,2/25/2024,Clairton,PM25_640,18,Good,,
76990,2/26/2024,North Braddock,CO,16,Good,,
76991,2/26/2024,Parkway East,CO,6,Good,,
76992,2/26/2024,South Fayette,OZONE,46,Good,,
76993,2/26/2024,Lawrenceville 2,CO,8,Good,,
76994,2/26/2024,Lawrenceville,OZONE,36,Good,,
76995,2/26/2024,Liberty,PM10_640,45,Good,,
76996,2/26/2024,Avalon,PM25_640,29,Good,,
76997,2/26/2024,Pittsburgh,PM10_640,19,Good,,
76998,2/26/2024,Lawrenceville 2,SO2,4,Good,,
76999,2/26/2024,Glassport High Street,PM10,28,Good,,
77000,2/26/2024,North Braddock,PM10_640,31,Good,,
77001,2/26/2024,Liberty,SO2,62,Moderate,,
77002,2/26/2024,Harrison Township,NO2,25,Good,,
77003,2/26/2024,Parkway East,NO2,25,Good,,
77004,2/26/2024,Pittsburgh,NO2_500,34,Good,,
77005,2/26/2024,Harrison Township,OZONE,41,Good,,
77006,2/26/2024,Liberty,PM25_640,84,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
77007,2/26/2024,North Braddock,PM25_640,46,Good,,
77008,2/26/2024,Parkway East,PM25_640,29,Good,,
77009,2/26/2024,North Braddock,SO2,29,Good,,
77010,2/26/2024,Pittsburgh,PM25_640,38,Good,,
77011,2/26/2024,Clairton,PM25_640,28,Good,,
77012,2/27/2024,North Braddock,CO,15,Good,,
77013,2/27/2024,Parkway East,CO,5,Good,,
77014,2/27/2024,Harrison Township,OZONE,36,Good,,
77015,2/27/2024,South Fayette,OZONE,44,Good,,
77016,2/27/2024,Glassport High Street,PM10,34,Good,,
77017,2/27/2024,North Braddock,PM25_640,59,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
77018,2/27/2024,Liberty,SO2,29,Good,,
77019,2/27/2024,Pittsburgh,PM10_640,25,Good,,
77020,2/27/2024,Lawrenceville 2,CO,7,Good,,
77021,2/27/2024,Lawrenceville,OZONE,36,Good,,
77022,2/27/2024,Liberty,PM10_640,42,Good,,
77023,2/27/2024,North Braddock,PM10_640,33,Good,,
77024,2/27/2024,Avalon,PM25_640,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
77025,2/27/2024,Liberty,PM25_640,63,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
77026,2/27/2024,Parkway East,PM25_640,48,Good,,
77027,2/27/2024,Lawrenceville 2,SO2,5,Good,,
77028,2/27/2024,Harrison Township,NO2,24,Good,,
77029,2/27/2024,Parkway East,NO2,9,Good,,
77030,2/27/2024,Pittsburgh,NO2_500,33,Good,,
77031,2/27/2024,North Braddock,SO2,17,Good,,
77032,2/27/2024,Pittsburgh,PM25_640,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
77033,2/27/2024,Clairton,PM25_640,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
77034,2/28/2024,Lawrenceville 2,CO,2,Good,,
77035,2/28/2024,Liberty,PM10_640,25,Good,,
77036,2/28/2024,North Braddock,PM10_640,33,Good,,
77037,2/28/2024,North Braddock,CO,17,Good,,
77038,2/28/2024,Parkway East,CO,7,Good,,
77039,2/28/2024,Harrison Township,OZONE,27,Good,,
77040,2/28/2024,Lawrenceville,OZONE,26,Good,,
77041,2/28/2024,South Fayette,OZONE,31,Good,,
77042,2/28/2024,Glassport High Street,PM10,30,Good,,
77043,2/28/2024,Avalon,PM25_640,36,Good,,
77044,2/28/2024,Liberty,SO2,9,Good,,
77045,2/28/2024,Pittsburgh,PM10_640,23,Good,,
77046,2/28/2024,Liberty,PM25_640,51,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
77047,2/28/2024,Parkway East,PM25_640,44,Good,,
77048,2/28/2024,Lawrenceville 2,SO2,1,Good,,
77049,2/28/2024,Harrison Township,NO2,4,Good,,
77050,2/28/2024,Parkway East,NO2,13,Good,,
77051,2/28/2024,Pittsburgh,NO2_500,12,Good,,
77052,2/28/2024,North Braddock,PM25_640,52,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
77053,2/28/2024,North Braddock,SO2,1,Good,,
77054,2/28/2024,Clairton,PM25_640,36,Good,,
77055,2/28/2024,Pittsburgh,PM25_640,46,Good,,
77056,2/29/2024,Lawrenceville 2,CO,3,Good,,
77057,2/29/2024,South Fayette,OZONE,36,Good,,
77058,2/29/2024,Liberty,PM10_640,17,Good,,
77059,2/29/2024,North Braddock,PM10_640,19,Good,,
77060,2/29/2024,Pittsburgh,PM10_640,15,Good,,
77061,2/29/2024,Harrison Township,NO2,20,Good,,
77062,2/29/2024,Liberty,SO2,17,Good,,
77063,2/29/2024,North Braddock,CO,7,Good,,
77064,2/29/2024,Parkway East,CO,9,Good,,
77065,2/29/2024,Parkway East,NO2,29,Good,,
77066,2/29/2024,Harrison Township,OZONE,31,Good,,
77067,2/29/2024,Lawrenceville,OZONE,33,Good,,
77068,2/29/2024,Glassport High Street,PM10,11,Good,,
77069,2/29/2024,Avalon,PM25_640,19,Good,,
77070,2/29/2024,Liberty,PM25_640,20,Good,,
77071,2/29/2024,North Braddock,SO2,1,Good,,
77072,2/29/2024,Pittsburgh,NO2_500,31,Good,,
77073,2/29/2024,North Braddock,PM25_640,18,Good,,
77074,2/29/2024,Parkway East,PM25_640,18,Good,,
77075,2/29/2024,Lawrenceville 2,SO2,0,Good,,
77076,2/29/2024,Pittsburgh,PM25_640,22,Good,,
77077,2/29/2024,Clairton,PM25_640,15,Good,,
77089,3/1/2024,Harrison Township,NO2,25,Good,,
77090,3/1/2024,Glassport High Street,PM10,17,Good,,
77091,3/1/2024,Liberty,SO2,11,Good,,
77092,3/1/2024,North Braddock,CO,13,Good,,
77093,3/1/2024,Parkway East,CO,11,Good,,
77094,3/1/2024,South Fayette,OZONE,35,Good,,
77095,3/1/2024,North Braddock,PM10_640,22,Good,,
77096,3/1/2024,Pittsburgh,PM10_640,15,Good,,
77097,3/1/2024,Lawrenceville 2,SO2,1,Good,,
77098,3/1/2024,Lawrenceville 2,CO,6,Good,,
77099,3/1/2024,Parkway East,NO2,28,Good,,
77100,3/1/2024,Harrison Township,OZONE,36,Good,,
77101,3/1/2024,Lawrenceville,OZONE,33,Good,,
77102,3/1/2024,Avalon,PM25_640,20,Good,,
77103,3/1/2024,Liberty,PM25_640,24,Good,,
77104,3/1/2024,North Braddock,SO2,16,Good,,
77105,3/1/2024,Pittsburgh,NO2_500,28,Good,,
77106,3/1/2024,Liberty,PM10_640,13,Good,,
77107,3/1/2024,North Braddock,PM25_640,28,Good,,
77108,3/1/2024,Parkway East,PM25_640,20,Good,,
77109,3/1/2024,Pittsburgh,PM25_640,25,Good,,
77110,3/1/2024,Clairton,PM25_640,19,Good,,
77122,3/2/2024,North Braddock,CO,4,Good,,
77123,3/2/2024,Parkway East,CO,11,Good,,
77124,3/2/2024,Harrison Township,OZONE,27,Good,,
77125,3/2/2024,South Fayette,OZONE,27,Good,,
77126,3/2/2024,Pittsburgh,PM10_640,12,Good,,
77127,3/2/2024,North Braddock,PM25_640,21,Good,,
77128,3/2/2024,Parkway East,PM25_640,20,Good,,
77129,3/2/2024,Lawrenceville 2,SO2,1,Good,,
77130,3/2/2024,Pittsburgh,NO2_500,21,Good,,
77131,3/2/2024,Liberty,PM10_640,9,Good,,
77132,3/2/2024,North Braddock,PM10_640,19,Good,,
77133,3/2/2024,Lawrenceville 2,CO,3,Good,,
77134,3/2/2024,Harrison Township,NO2,14,Good,,
77135,3/2/2024,Parkway East,NO2,16,Good,,
77136,3/2/2024,Lawrenceville,OZONE,23,Good,,
77137,3/2/2024,Liberty,PM25_640,19,Good,,
77138,3/2/2024,North Braddock,SO2,0,Good,,
77139,3/2/2024,Glassport High Street,PM10,14,Good,,
77140,3/2/2024,Avalon,PM25_640,19,Good,,
77141,3/2/2024,Liberty,SO2,1,Good,,
77142,3/2/2024,Clairton,PM25_640,15,Good,,
77143,3/2/2024,Pittsburgh,PM25_640,21,Good,,
77144,3/3/2024,Pittsburgh,NO2_500,20,Good,,
77145,3/3/2024,Liberty,PM10_640,12,Good,,
77146,3/3/2024,North Braddock,PM10_640,12,Good,,
77147,3/3/2024,Lawrenceville 2,CO,5,Good,,
77148,3/3/2024,Harrison Township,NO2,12,Good,,
77149,3/3/2024,Parkway East,NO2,14,Good,,
77150,3/3/2024,Liberty,PM25_640,35,Good,,
77151,3/3/2024,North Braddock,SO2,10,Good,,
77152,3/3/2024,Lawrenceville,OZONE,33,Good,,
77153,3/3/2024,Glassport High Street,PM10,9,Good,,
77154,3/3/2024,Avalon,PM25_640,29,Good,,
77155,3/3/2024,Liberty,SO2,1,Good,,
77156,3/3/2024,North Braddock,CO,8,Good,,
77157,3/3/2024,Parkway East,CO,9,Good,,
77158,3/3/2024,Harrison Township,OZONE,37,Good,,
77159,3/3/2024,South Fayette,OZONE,40,Good,,
77160,3/3/2024,Pittsburgh,PM10_640,14,Good,,
77161,3/3/2024,North Braddock,PM25_640,33,Good,,
77162,3/3/2024,Parkway East,PM25_640,29,Good,,
77163,3/3/2024,Lawrenceville 2,SO2,3,Good,,
77164,3/3/2024,Clairton,PM25_640,28,Good,,
77165,3/3/2024,Pittsburgh,PM25_640,35,Good,,
77166,3/4/2024,Lawrenceville,OZONE,37,Good,,
77167,3/4/2024,Glassport High Street,PM10,13,Good,,
77168,3/4/2024,Avalon,PM25_640,28,Good,,
77169,3/4/2024,North Braddock,CO,8,Good,,
77170,3/4/2024,Parkway East,CO,3,Good,,
77171,3/4/2024,Pittsburgh,NO2_500,17,Good,,
77172,3/4/2024,Harrison Township,OZONE,38,Good,,
77173,3/4/2024,North Braddock,PM25_640,28,Good,,
77174,3/4/2024,Parkway East,PM25_640,20,Good,,
77175,3/4/2024,Lawrenceville 2,SO2,4,Good,,
77176,3/4/2024,North Braddock,SO2,9,Good,,
77177,3/4/2024,South Fayette,OZONE,40,Good,,
77178,3/4/2024,Liberty,PM10_640,17,Good,,
77179,3/4/2024,North Braddock,PM10_640,18,Good,,
77180,3/4/2024,Liberty,SO2,17,Good,,
77181,3/4/2024,Lawrenceville 2,CO,4,Good,,
77182,3/4/2024,Harrison Township,NO2,7,Good,,
77183,3/4/2024,Parkway East,NO2,12,Good,,
77184,3/4/2024,Pittsburgh,PM10_640,16,Good,,
77185,3/4/2024,Liberty,PM25_640,44,Good,,
77186,3/4/2024,Clairton,PM25_640,33,Good,,
77187,3/4/2024,Pittsburgh,PM25_640,32,Good,,
77188,3/5/2024,North Braddock,CO,7,Good,,
77189,3/5/2024,Parkway East,CO,4,Good,,
77190,3/5/2024,South Fayette,OZONE,40,Good,,
77191,3/5/2024,Glassport High Street,PM10,12,Good,,
77192,3/5/2024,North Braddock,PM10_640,17,Good,,
77193,3/5/2024,Liberty,SO2,4,Good,,
77194,3/5/2024,Harrison Township,NO2,11,Good,,
77195,3/5/2024,Pittsburgh,PM10_640,15,Good,,
77196,3/5/2024,Lawrenceville 2,SO2,4,Good,,
77197,3/5/2024,Parkway East,NO2,8,Good,,
77198,3/5/2024,Pittsburgh,NO2_500,21,Good,,
77199,3/5/2024,Harrison Township,OZONE,36,Good,,
77200,3/5/2024,North Braddock,PM25_640,25,Good,,
77201,3/5/2024,Parkway East,PM25_640,19,Good,,
77202,3/5/2024,North Braddock,SO2,14,Good,,
77203,3/5/2024,Lawrenceville 2,CO,4,Good,,
77204,3/5/2024,Lawrenceville,OZONE,37,Good,,
77205,3/5/2024,Liberty,PM10_640,16,Good,,
77206,3/5/2024,Avalon,PM25_640,20,Good,,
77207,3/5/2024,Liberty,PM25_640,19,Good,,
77208,3/5/2024,Clairton,PM25_640,17,Good,,
77209,3/5/2024,Pittsburgh,PM25_640,23,Good,,
77210,3/6/2024,Pittsburgh,PM10_640,13,Good,,
77211,3/6/2024,North Braddock,PM25_640,29,Good,,
77212,3/6/2024,Parkway East,PM25_640,30,Good,,
77213,3/6/2024,Lawrenceville 2,SO2,1,Good,,
77214,3/6/2024,Lawrenceville 2,CO,3,Good,,
77215,3/6/2024,Lawrenceville,OZONE,22,Good,,
77216,3/6/2024,Liberty,PM10_640,12,Good,,
77217,3/6/2024,North Braddock,PM10_640,19,Good,,
77218,3/6/2024,Liberty,PM25_640,27,Good,,
77219,3/6/2024,North Braddock,CO,8,Good,,
77220,3/6/2024,Parkway East,CO,8,Good,,
77221,3/6/2024,Harrison Township,OZONE,22,Good,,
77222,3/6/2024,South Fayette,OZONE,27,Good,,
77223,3/6/2024,Glassport High Street,PM10,8,Good,,
77224,3/6/2024,Avalon,PM25_640,33,Good,,
77225,3/6/2024,Liberty,SO2,6,Good,,
77226,3/6/2024,Harrison Township,NO2,13,Good,,
77227,3/6/2024,Parkway East,NO2,18,Good,,
77228,3/6/2024,Pittsburgh,NO2_500,18,Good,,
77229,3/6/2024,North Braddock,SO2,0,Good,,
77230,3/6/2024,Pittsburgh,PM25_640,23,Good,,
77231,3/6/2024,Clairton,PM25_640,21,Good,,
77232,3/7/2024,Lawrenceville 2,CO,3,Good,,
77233,3/7/2024,Liberty,PM10_640,10,Good,,
77234,3/7/2024,North Braddock,PM10_640,12,Good,,
77235,3/7/2024,Liberty,PM25_640,22,Good,,
77236,3/7/2024,Pittsburgh,PM10_640,8,Good,,
77237,3/7/2024,North Braddock,PM25_640,20,Good,,
77238,3/7/2024,Parkway East,PM25_640,16,Good,,
77239,3/7/2024,Lawrenceville 2,SO2,1,Good,,
77240,3/7/2024,Harrison Township,NO2,11,Good,,
77241,3/7/2024,Parkway East,NO2,16,Good,,
77242,3/7/2024,Pittsburgh,NO2_500,20,Good,,
77243,3/7/2024,North Braddock,SO2,0,Good,,
77244,3/7/2024,North Braddock,CO,13,Good,,
77245,3/7/2024,Parkway East,CO,11,Good,,
77246,3/7/2024,Harrison Township,OZONE,19,Good,,
77247,3/7/2024,Lawrenceville,OZONE,17,Good,,
77248,3/7/2024,South Fayette,OZONE,15,Good,,
77249,3/7/2024,Glassport High Street,PM10,6,Good,,
77250,3/7/2024,Avalon,PM25_640,16,Good,,
77251,3/7/2024,Liberty,SO2,4,Good,,
77252,3/7/2024,Clairton,PM25_640,15,Good,,
77253,3/7/2024,Pittsburgh,PM25_640,20,Good,,
77254,3/8/2024,North Braddock,CO,17,Good,,
77255,3/8/2024,Lawrenceville 2,CO,4,Good,,
77256,3/8/2024,Liberty,PM10_640,11,Good,,
77257,3/8/2024,North Braddock,PM10_640,16,Good,,
77258,3/8/2024,Pittsburgh,PM10_640,11,Good,,
77259,3/8/2024,Liberty,PM25_640,20,Good,,
77260,3/8/2024,Pittsburgh,PM25_640,20,Good,,
77261,3/8/2024,Harrison Township,NO2,10,Good,,
77262,3/8/2024,Parkway East,NO2,16,Good,,
77263,3/8/2024,Parkway East,CO,12,Good,,
77264,3/8/2024,Harrison Township,OZONE,30,Good,,
77265,3/8/2024,Lawrenceville,OZONE,29,Good,,
77266,3/8/2024,South Fayette,OZONE,31,Good,,
77267,3/8/2024,Glassport High Street,PM10,7,Good,,
77268,3/8/2024,Avalon,PM25_640,17,Good,,
77269,3/8/2024,Liberty,SO2,0,Good,,
77270,3/8/2024,North Braddock,SO2,11,Good,,
77271,3/8/2024,Pittsburgh,NO2_500,12,Good,,
77272,3/8/2024,North Braddock,PM25_640,24,Good,,
77273,3/8/2024,Parkway East,PM25_640,18,Good,,
77274,3/8/2024,Lawrenceville 2,SO2,4,Good,,
77275,3/8/2024,Clairton,PM25_640,23,Good,,
77276,3/9/2024,North Braddock,CO,8,Good,,
77277,3/9/2024,Harrison Township,NO2,4,Good,,
77278,3/9/2024,Glassport High Street,PM10,6,Good,,
77279,3/9/2024,Liberty,SO2,0,Good,,
77280,3/9/2024,Lawrenceville 2,CO,2,Good,,
77281,3/9/2024,Parkway East,CO,3,Good,,
77282,3/9/2024,Parkway East,NO2,8,Good,,
77283,3/9/2024,Harrison Township,OZONE,29,Good,,
77284,3/9/2024,Lawrenceville,OZONE,29,Good,,
77285,3/9/2024,Avalon,PM25_640,9,Good,,
77286,3/9/2024,Liberty,PM25_640,8,Good,,
77287,3/9/2024,North Braddock,SO2,0,Good,,
77288,3/9/2024,South Fayette,OZONE,31,Good,,
77289,3/9/2024,North Braddock,PM10_640,13,Good,,
77290,3/9/2024,Pittsburgh,PM10_640,8,Good,,
77291,3/9/2024,Lawrenceville 2,SO2,1,Good,,
77292,3/9/2024,Pittsburgh,NO2_500,9,Good,,
77293,3/9/2024,Liberty,PM10_640,6,Good,,
77294,3/9/2024,North Braddock,PM25_640,13,Good,,
77295,3/9/2024,Parkway East,PM25_640,8,Good,,
